GO:0000005	obsolete ribosomal chaperone activity
GO:0047050	(S)-2-hydroxy-fatty acid dehydrogenase activity
GO:0047051	D-lactate dehydrogenase (cytochrome c-553) activity
GO:0047052	(S)-stylopine synthase activity
GO:0047053	(S)-cheilanthifoline synthase activity
GO:0047054	berbamunine synthase activity
GO:0047055	salutaridine synthase activity
GO:0047056	(S)-canadine synthase activity
GO:0047057	vitamin-K-epoxide reductase (warfarin-sensitive) activity
GO:0047058	vitamin-K-epoxide reductase (warfarin-insensitive) activity
GO:0047059	polyvinyl alcohol dehydrogenase (cytochrome) activity
GO:0047060	(R)-pantolactone dehydrogenase (flavin) activity
GO:0047061	glucose-fructose oxidoreductase activity
GO:0047062	trans-acenaphthene-1,2-diol dehydrogenase activity
GO:0047063	L-ascorbate-cytochrome-b5 reductase activity
GO:0047064	sulochrin oxidase [(+)-bisdechlorogeodin-forming] activity
GO:0047065	sulochrin oxidase [(-)-bisdechlorogeodin-forming] activity
GO:0047066	phospholipid-hydroperoxide glutathione peroxidase activity
GO:0047067	hydrogen:quinone oxidoreductase activity
GO:0047068	N5,N10-methenyltetrahydromethanopterin hydrogenase activity
GO:0047069	7,8-dihydroxykynurenate 8,8a-dioxygenase activity
GO:0047070	3-carboxyethylcatechol 2,3-dioxygenase activity
GO:0047071	3,4-dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione 4,5-dioxygenase activity
GO:0047072	2,3-dihydroxybenzoate 2,3-dioxygenase activity
GO:0047073	2,4'-dihydroxyacetophenone dioxygenase activity
GO:0047074	4-hydroxycatechol 1,2-dioxygenase activity
GO:0047075	2,5-dihydroxypyridine 5,6-dioxygenase activity
GO:0047077	Photinus-luciferin 4-monooxygenase (ATP-hydrolyzing) activity
GO:0047078	3-hydroxy-4-oxoquinoline 2,4-dioxygenase activity
GO:0047079	deoxyuridine 1'-dioxygenase activity
GO:0047080	deoxyuridine 2'-dioxygenase activity
GO:0047081	3-hydroxy-2-methylpyridinecarboxylate dioxygenase activity
GO:0047082	3,9-dihydroxypterocarpan 6a-monooxygenase activity
GO:0047083	5-O-(4-coumaroyl)-D-quinate 3'-monooxygenase activity
GO:0047084	methyltetrahydroprotoberberine 14-monooxygenase activity
GO:0047085	hydroxyphenylacetonitrile 2-monooxygenase activity
GO:0047086	ketosteroid monooxygenase activity
GO:0047087	protopine 6-monooxygenase activity
GO:0047088	dihydrosanguinarine 10-monooxygenase activity
GO:0047089	dihydrochelirubine 12-monooxygenase activity
GO:0047090	benzoyl-CoA 3-monooxygenase activity
GO:0047091	L-lysine 6-monooxygenase (NADPH) activity
GO:0047092	27-hydroxycholesterol 7-alpha-monooxygenase activity
GO:0047093	4-hydroxyquinoline 3-monooxygenase activity
GO:0047094	3-hydroxyphenylacetate 6-hydroxylase activity
GO:0047095	2-hydroxycyclohexanone 2-monooxygenase activity
GO:0047096	androst-4-ene-3,17-dione monooxygenase activity
GO:0047097	phylloquinone monooxygenase (2,3-epoxidizing) activity
GO:0047098	Latia-luciferin monooxygenase (demethylating) activity
GO:0047099	CDP-4-dehydro-6-deoxyglucose reductase activity
GO:0047100	glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) activity
GO:0047101	2-oxoisovalerate dehydrogenase (acylating) activity
GO:0047102	aminomuconate-semialdehyde dehydrogenase activity
GO:0047103	3-alpha,7-alpha,12-alpha-trihydroxycholestan-26-al 26-oxidoreductase activity
GO:0047104	hexadecanal dehydrogenase (acylating) activity
GO:0047105	4-trimethylammoniobutyraldehyde dehydrogenase activity
GO:0047106	4-hydroxyphenylacetaldehyde dehydrogenase activity
GO:0047107	gamma-guanidinobutyraldehyde dehydrogenase activity
GO:0047108	(R)-3-hydroxyacid-ester dehydrogenase activity
GO:0047109	(S)-3-hydroxyacid-ester dehydrogenase activity
GO:0047110	phenylglyoxylate dehydrogenase (acylating) activity
GO:0047111	formate dehydrogenase (cytochrome-c-553) activity
GO:0047112	pyruvate oxidase activity
GO:0047113	aldehyde dehydrogenase (quinone) activity
GO:0047114	kynurenate-7,8-dihydrodiol dehydrogenase activity
GO:0047115	trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity
GO:0047116	1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase activity
GO:0047117	enoyl-[acyl-carrier-protein] reductase (NADPH, A-specific) activity
GO:0047118	2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate reductase activity
GO:0047119	2-methyl-branched-chain-enoyl-CoA reductase activity
GO:0047120	(3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate dehydrogenase activity
GO:0047121	isoquinoline 1-oxidoreductase activity
GO:0047122	quinaldate 4-oxidoreductase activity
GO:0047123	quinoline-4-carboxylate 2-oxidoreductase activity
GO:0047124	L-erythro-3,5-diaminohexanoate dehydrogenase activity
GO:0047125	delta1-piperideine-2-carboxylate reductase activity
GO:0047126	N5-(carboxyethyl)ornithine synthase activity
GO:0047127	thiomorpholine-carboxylate dehydrogenase activity
GO:0047128	1,2-dehydroreticulinium reductase (NADPH) activity
GO:0047129	opine dehydrogenase activity
GO:0047130	saccharopine dehydrogenase (NADP+, L-lysine-forming) activity
GO:0047131	saccharopine dehydrogenase (NAD+, L-glutamate-forming) activity
GO:0047132	dihydrobenzophenanthridine oxidase activity
GO:0047133	dimethylamine dehydrogenase activity
GO:0047134	protein-disulfide reductase activity
GO:0047135	bis-gamma-glutamylcystine reductase activity
GO:0047136	4-(dimethylamino)phenylazoxybenzene reductase activity
GO:0047137	N-hydroxy-2-acetamidofluorene reductase activity
GO:0047138	aquacobalamin reductase activity
GO:0047139	glutathione-homocystine transhydrogenase activity
GO:0047140	glutathione-CoA-glutathione transhydrogenase activity
GO:0047141	glutathione-cystine transhydrogenase activity
GO:0047142	enzyme-thiol transhydrogenase (glutathione-disulfide) activity
GO:0047143	chlorate reductase activity
GO:0047144	2-acylglycerol-3-phosphate O-acyltransferase activity
GO:0047145	demethylsterigmatocystin 6-O-methyltransferase activity
GO:0047146	sterigmatocystin 7-O-methyltransferase activity
GO:0047147	trimethylsulfonium-tetrahydrofolate N-methyltransferase activity
GO:0047148	methylamine-glutamate N-methyltransferase activity
GO:0047149	thetin-homocysteine S-methyltransferase activity
GO:0047150	betaine-homocysteine S-methyltransferase activity
GO:0047151	methylenetetrahydrofolate-tRNA-(uracil-5-)-methyltransferase (FADH2-oxidizing) activity
GO:0047152	methanol-5-hydroxybenzimidazolylcobamide Co-methyltransferase activity
GO:0047153	deoxycytidylate 5-hydroxymethyltransferase activity
GO:0047154	methylmalonyl-CoA carboxytransferase activity
GO:0047155	3-hydroxymethylcephem carbamoyltransferase activity
GO:0047156	acetoin-ribose-5-phosphate transaldolase activity
GO:0047157	myelin-proteolipid O-palmitoyltransferase activity
GO:0047158	sinapoylglucose-sinapoylglucose O-sinapoyltransferase activity
GO:0047159	1-alkenylglycerophosphocholine O-acyltransferase activity
GO:0047160	alkylglycerophosphate 2-O-acetyltransferase activity
GO:0047161	tartronate O-hydroxycinnamoyltransferase activity
GO:0047162	17-O-deacetylvindoline O-acetyltransferase activity
GO:0047163	3,4-dichloroaniline N-malonyltransferase activity
GO:0047164	isoflavone-7-O-beta-glucoside 6''-O-malonyltransferase activity
GO:0047165	flavonol-3-O-beta-glucoside O-malonyltransferase activity
GO:0047166	1-alkenylglycerophosphoethanolamine O-acyltransferase activity
GO:0047167	1-alkyl-2-acetylglycerol O-acyltransferase activity
GO:0047168	isocitrate O-dihydroxycinnamoyltransferase activity
GO:0047169	galactarate O-hydroxycinnamoyltransferase activity
GO:0047170	glucarate O-hydroxycinnamoyltransferase activity
GO:0047171	glucarolactone O-hydroxycinnamoyltransferase activity
GO:0047172	shikimate O-hydroxycinnamoyltransferase activity
GO:0047173	phosphatidylcholine-retinol O-acyltransferase activity
GO:0047174	putrescine N-hydroxycinnamoyltransferase activity
GO:0047175	galactosylacylglycerol O-acyltransferase activity
GO:0047176	beta-glucogallin-tetrakisgalloylglucose O-galloyltransferase activity
GO:0047177	glycerophospholipid arachidonoyl-transferase (CoA-independent) activity
GO:0047178	glycerophospholipid acyltransferase (CoA-dependent) activity
GO:0047179	platelet-activating factor acetyltransferase activity
GO:0047180	salutaridinol 7-O-acetyltransferase activity
GO:0047181	tetrahydroxybenzophenone synthase activity
GO:0047182	alcohol O-cinnamoyltransferase activity
GO:0047183	anthocyanin 5-aromatic acyltransferase activity
GO:0047184	1-acylglycerophosphocholine O-acyltransferase activity
GO:0047185	N-acetylneuraminate 4-O-acetyltransferase activity
GO:0047186	N-acetylneuraminate 7-O(or 9-O)-acetyltransferase activity
GO:0047187	deacetyl-[citrate-(pro-3S)-lyase] S-acetyltransferase activity
GO:0047188	aromatic-hydroxylamine O-acetyltransferase activity
GO:0047189	2,3-diaminopropionate N-oxalyltransferase activity
GO:0047190	2-acylglycerophosphocholine O-acyltransferase activity
GO:0047191	1-alkylglycerophosphocholine O-acyltransferase activity
GO:0047192	1-alkylglycerophosphocholine O-acetyltransferase activity
GO:0047193	obsolete CDP-acylglycerol O-arachidonoyltransferase activity
GO:0047194	indoleacetylglucose-inositol O-acyltransferase activity
GO:0047195	diacylglycerol-sterol O-acyltransferase activity
GO:0047196	long-chain-alcohol O-fatty-acyltransferase activity
GO:0047197	triglyceride-sterol O-acyltransferase activity
GO:0047198	cysteine-S-conjugate N-acetyltransferase activity
GO:0047199	phosphatidylcholine-dolichol O-acyltransferase activity
GO:0047200	tetrahydrodipicolinate N-acetyltransferase activity
GO:0047201	beta-glucogallin O-galloyltransferase activity
GO:0047202	sinapoylglucose-choline O-sinapoyltransferase activity
GO:0047203	13-hydroxylupinine O-tigloyltransferase activity
GO:0047204	chlorogenate-glucarate O-hydroxycinnamoyltransferase activity
GO:0047205	quinate O-hydroxycinnamoyltransferase activity
GO:0047206	UDP-N-acetylmuramoylpentapeptide-lysine N6-alanyltransferase activity
GO:0047207	1,2-beta-fructan 1F-fructosyltransferase activity
GO:0047208	o-dihydroxycoumarin 7-O-glucosyltransferase activity
GO:0047209	coniferyl-alcohol glucosyltransferase activity
GO:0047211	alpha-1,4-glucan-protein synthase (ADP-forming) activity
GO:0047212	2-coumarate O-beta-glucosyltransferase activity
GO:0047213	anthocyanidin 3-O-glucosyltransferase activity
GO:0047214	cyanidin-3-rhamnosylglucoside 5-O-glucosyltransferase activity
GO:0047215	indole-3-acetate beta-glucosyltransferase activity
GO:0047216	inositol 3-alpha-galactosyltransferase activity
GO:0047217	sucrose-1,6-alpha-glucan 3(6)-alpha-glucosyltransferase activity
GO:0047218	hydroxycinnamate 4-beta-glucosyltransferase activity
GO:0047219	monoterpenol beta-glucosyltransferase activity
GO:0047220	galactosylxylosylprotein 3-beta-galactosyltransferase activity
GO:0047221	sn-glycerol-3-phosphate 2-alpha-galactosyltransferase activity
GO:0047222	mannotetraose 2-alpha-N-acetylglucosaminyltransferase activity
GO:0047223	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase activity
GO:0047224	acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase activity
GO:0047225	acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity
GO:0047227	indolylacetyl-myo-inositol galactosyltransferase activity
GO:0047228	1,2-diacylglycerol 3-glucosyltransferase activity
GO:0047229	13-hydroxydocosanoate 13-beta-glucosyltransferase activity
GO:0047230	flavonol-3-O-glucoside L-rhamnosyltransferase activity
GO:0047231	pyridoxine 5'-O-beta-D-glucosyltransferase activity
GO:0047232	galactosyl-N-acetylglucosaminylgalactosylglucosyl-ceramide beta-1,6-N-acetylglucosaminyltransferase activity
GO:0047233	N-acetylneuraminylgalactosylglucosylceramide beta-1,4-N-acetylgalactosaminyltransferase activity
GO:0047234	raffinose-raffinose alpha-galactotransferase activity
GO:0047235	sucrose 6F-alpha-galactotransferase activity
GO:0047236	methyl-ONN-azoxymethanol beta-D-glucosyltransferase activity
GO:0047237	glucuronylgalactosylproteoglycan 4-beta-N-acetylgalactosaminyltransferase activity
GO:0047238	glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase activity
GO:0047239	hydroxymandelonitrile glucosyltransferase activity
GO:0047240	lactosylceramide beta-1,3-galactosyltransferase activity
GO:0047241	lipopolysaccharide N-acetylmannosaminouronosyltransferase activity
GO:0047242	hydroxyanthraquinone glucosyltransferase activity
GO:0047243	flavanone 7-O-beta-glucosyltransferase activity
GO:0047244	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase activity
GO:0047245	N-acetylglucosaminyldiphosphoundecaprenol glucosyltransferase activity
GO:0047246	luteolin-7-O-glucuronide 7-O-glucuronosyltransferase activity
GO:0047247	luteolin-7-O-diglucuronide 4'-O-glucuronosyltransferase activity
GO:0047248	nuatigenin 3-beta-glucosyltransferase activity
GO:0047249	sarsapogenin 3-beta-glucosyltransferase activity
GO:0047250	4-hydroxybenzoate 4-O-beta-D-glucosyltransferase activity
GO:0047251	thiohydroximate beta-D-glucosyltransferase activity
GO:0047252	beta-mannosylphosphodecaprenol-mannooligosaccharide 6-mannosyltransferase activity
GO:0047253	alpha-1,6-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity
GO:0047254	2,4-dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one 2-D-glucosyltransferase activity
GO:0047255	galactogen 6-beta-galactosyltransferase activity
GO:0047256	lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase activity
GO:0047257	diglucosyl diacylglycerol synthase activity
GO:0047258	sphingosine beta-galactosyltransferase activity
GO:0047259	glucomannan 4-beta-mannosyltransferase activity
GO:0047260	alpha,alpha-trehalose-phosphate synthase (GDP-forming) activity
GO:0047261	steroid N-acetylglucosaminyltransferase activity
GO:0047262	polygalacturonate 4-alpha-galacturonosyltransferase activity
GO:0047263	N-acylsphingosine galactosyltransferase activity
GO:0047264	heteroglycan alpha-mannosyltransferase activity
GO:0047265	poly(glycerol-phosphate) alpha-glucosyltransferase activity
GO:0047266	poly(ribitol-phosphate) beta-glucosyltransferase activity
GO:0047267	undecaprenyl-phosphate mannosyltransferase activity
GO:0047268	galactinol-raffinose galactosyltransferase activity
GO:0047269	poly(ribitol-phosphate) N-acetylglucosaminyltransferase activity
GO:0047270	lipopolysaccharide glucosyltransferase II activity
GO:0047271	glycosaminoglycan galactosyltransferase activity
GO:0047272	phosphopolyprenol glucosyltransferase activity
GO:0047273	galactosylgalactosylglucosylceramide beta-D-acetylgalactosaminyltransferase activity
GO:0047274	galactinol-sucrose galactosyltransferase activity
GO:0047275	glucosaminylgalactosylglucosylceramide beta-galactosyltransferase activity
GO:0047276	N-acetyllactosaminide 3-alpha-galactosyltransferase activity
GO:0047277	globoside alpha-N-acetylgalactosaminyltransferase activity
GO:0047278	bilirubin-glucuronoside glucuronosyltransferase activity
GO:0047279	sn-glycerol-3-phosphate 1-galactosyltransferase activity
GO:0047280	nicotinamide phosphoribosyltransferase activity
GO:0047281	dioxotetrahydropyrimidine phosphoribosyltransferase activity
GO:0047282	dTDP-dihydrostreptose-streptidine-6-phosphate dihydrostreptosyltransferase activity
GO:0047283	dolichyl-phosphate D-xylosyltransferase activity
GO:0047284	dolichyl-xylosyl-phosphate-protein xylosyltransferase activity
GO:0047285	flavonol-3-O-glycoside xylosyltransferase activity
GO:0047286	NAD+-diphthamide ADP-ribosyltransferase activity
GO:0047287	lactosylceramide alpha-2,6-N-sialyltransferase activity
GO:0047288	monosialoganglioside sialyltransferase activity
GO:0047289	galactosyldiacylglycerol alpha-2,3-sialyltransferase activity
GO:0047290	(alpha-N-acetylneuraminyl-2,3-beta-galactosyl-1,3)-N-acetyl-galactosaminide 6-alpha-sialyltransferase activity
GO:0047291	lactosylceramide alpha-2,3-sialyltransferase activity
GO:0047292	trihydroxypterocarpan dimethylallyltransferase activity
GO:0047293	4-hydroxybenzoate nonaprenyltransferase activity
GO:0047294	phosphoglycerol geranylgeranyltransferase activity
GO:0047295	geranylgeranylglycerol-phosphate geranylgeranyltransferase activity
GO:0047296	homospermidine synthase activity
GO:0047297	asparagine-oxo-acid transaminase activity
GO:0047298	(S)-3-amino-2-methylpropionate transaminase activity
GO:0047299	tryptophan-phenylpyruvate transaminase activity
GO:0047300	pyridoxamine-pyruvate transaminase activity
GO:0047301	valine-3-methyl-2-oxovalerate transaminase activity
GO:0047302	UDP-2-acetamido-4-amino-2,4,6-trideoxyglucose transaminase activity
GO:0047303	glycine-oxaloacetate transaminase activity
GO:0047304	2-aminoethylphosphonate-pyruvate transaminase activity
GO:0047305	(R)-3-amino-2-methylpropionate-pyruvate transaminase activity
GO:0047306	D-methionine-pyruvate transaminase activity
GO:0047307	diaminobutyrate-pyruvate transaminase activity
GO:0047308	alanine-oxomalonate transaminase activity
GO:0047309	dihydroxyphenylalanine transaminase activity
GO:0047310	glutamine-scyllo-inositol transaminase activity
GO:0047311	1D-1-guanidino-3-amino-1,3-dideoxy-scyllo-inositol transaminase activity
GO:0047312	L-phenylalanine:pyruvate aminotransferase activity
GO:0047313	aromatic-amino-acid-glyoxylate transaminase activity
GO:0047315	kynurenine-glyoxylate transaminase activity
GO:0047316	glutamine-phenylpyruvate transaminase activity
GO:0047317	N6-acetyl-beta-lysine transaminase activity
GO:0047319	aspartate-phenylpyruvate transaminase activity
GO:0047320	D-4-hydroxyphenylglycine transaminase activity
GO:0047321	diphosphate-protein phosphotransferase activity
GO:0047322	[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity
GO:0047323	[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase activity
GO:0047324	phosphoenolpyruvate-glycerone phosphotransferase activity
GO:0047325	inositol tetrakisphosphate 1-kinase activity
GO:0047326	inositol tetrakisphosphate 5-kinase activity
GO:0047327	glycerol-3-phosphate-glucose phosphotransferase activity
GO:0047328	acyl-phosphate-hexose phosphotransferase activity
GO:0047329	phosphoramidate-hexose phosphotransferase activity
GO:0047330	polyphosphate-glucose phosphotransferase activity
GO:0047331	diphosphate-glycerol phosphotransferase activity
GO:0047332	diphosphate-serine phosphotransferase activity
GO:0047333	dihydrostreptomycin-6-phosphate 3'-alpha-kinase activity
GO:0047334	diphosphate-fructose-6-phosphate 1-phosphotransferase activity
GO:0047335	3-phosphoglyceroyl-phosphate-polyphosphate phosphotransferase activity
GO:0047336	5-methyldeoxycytidine-5'-phosphate kinase activity
GO:0047337	dolichyl-diphosphate-polyphosphate phosphotransferase activity
GO:0047338	UTP:xylose-1-phosphate uridylyltransferase activity
GO:0047339	nucleoside-triphosphate-hexose-1-phosphate nucleotidyltransferase activity
GO:0047341	fucose-1-phosphate guanylyltransferase activity
GO:0047342	galactose-1-phosphate thymidylyltransferase activity
GO:0047343	glucose-1-phosphate cytidylyltransferase activity
GO:0047344	glucose-1-phosphate guanylyltransferase activity
GO:0047345	ribose-5-phosphate adenylyltransferase activity
GO:0047346	aldose-1-phosphate adenylyltransferase activity
GO:0047347	aldose-1-phosphate nucleotidyltransferase activity
GO:0047348	glycerol-3-phosphate cytidylyltransferase activity
GO:0047349	D-ribitol-5-phosphate cytidylyltransferase activity
GO:0047350	glucuronate-1-phosphate uridylyltransferase activity
GO:0047351	guanosine-triphosphate guanylyltransferase activity
GO:0047352	adenylylsulfate-ammonia adenylyltransferase activity
GO:0047353	N-methylphosphoethanolamine cytidylyltransferase activity
GO:0047354	sphingosine cholinephosphotransferase activity
GO:0047355	CDP-glycerol glycerophosphotransferase activity
GO:0047356	CDP-ribitol ribitolphosphotransferase activity
GO:0047357	UDP-galactose-UDP-N-acetylglucosamine galactose phosphotransferase activity
GO:0047358	UDP-glucose-glycoprotein glucose phosphotransferase activity
GO:0047359	1-alkenyl-2-acylglycerol choline phosphotransferase activity
GO:0047360	undecaprenyl-phosphate galactose phosphotransferase activity
GO:0047361	phosphomannan mannosephosphotransferase activity
GO:0047362	thiosulfate-dithiol sulfurtransferase activity
GO:0047363	triglucosylalkylacylglycerol sulfotransferase activity
GO:0047364	desulfoglucosinolate sulfotransferase activity
GO:0047365	quercetin-3-sulfate 3'-sulfotransferase activity
GO:0047366	quercetin-3-sulfate 4'-sulfotransferase activity
GO:0047367	quercetin-3,3'-bissulfate 7-sulfotransferase activity
GO:0047368	UDP-N-acetylgalactosamine-4-sulfate sulfotransferase activity
GO:0047369	succinate-hydroxymethylglutarate CoA-transferase activity
GO:0047370	succinate-citramalate CoA-transferase activity
GO:0047371	butyrate-acetoacetate CoA-transferase activity
GO:0047372	acylglycerol lipase activity
GO:0047373	acetoxybutynylbithiophene deacetylase activity
GO:0047374	methylumbelliferyl-acetate deacetylase activity
GO:0047375	N-acetylgalactosaminoglycan deacetylase activity
GO:0047376	all-trans-retinyl-palmitate hydrolase, all-trans-retinol forming activity
GO:0047377	5-(3,4-diacetoxybut-1-ynyl)-2,2'-bithiophene deacetylase activity
GO:0047378	acetylalkylglycerol acetylhydrolase activity
GO:0047379	ADP-dependent short-chain-acyl-CoA hydrolase activity
GO:0047380	ADP-dependent medium-chain-acyl-CoA hydrolase activity
GO:0047381	dodecanoyl-[acyl-carrier-protein] hydrolase activity
GO:0047382	methylphosphothioglycerate phosphatase activity
GO:0047383	guanidinodeoxy-scyllo-inositol-4-phosphatase activity
GO:0047384	[hydroxymethylglutaryl-CoA reductase (NADPH)]-phosphatase activity
GO:0047385	[3-methyl-2-oxobutanoate dehydrogenase (lipoamide)]-phosphatase activity
GO:0047386	fructose-2,6-bisphosphate 6-phosphatase activity
GO:0047387	serine-ethanolaminephosphate phosphodiesterase activity
GO:0047388	[glutamine synthetase]-adenylyl-L-tyrosine phosphorylase
GO:0047389	glycerophosphocholine phosphodiesterase activity
GO:0047390	glycerophosphocholine cholinephosphodiesterase activity
GO:0047391	alkylglycerophosphoethanolamine phosphodiesterase activity
GO:0047392	CMP-N-acylneuraminate phosphodiesterase activity
GO:0047393	glycerol-1,2-cyclic-phosphate 2-phosphodiesterase activity
GO:0047394	glycerophosphoinositol inositolphosphodiesterase activity
GO:0047395	glycerophosphoinositol glycerophosphodiesterase activity
GO:0047396	glycosylphosphatidylinositol diacylglycerol-lyase activity
GO:0047397	dolichylphosphate-glucose phosphodiesterase activity
GO:0047398	dolichylphosphate-mannose phosphodiesterase activity
GO:0047399	glucose-1-phospho-D-mannosylglycoprotein phosphodiesterase activity
GO:0047400	phosphonoacetate hydrolase activity
GO:0047401	trithionate hydrolase activity
GO:0047402	protein-glucosylgalactosylhydroxylysine glucosidase activity
GO:0047403	lacto-N-biosidase activity
GO:0047404	glucuronosyl-disulfoglucosamine glucuronidase activity
GO:0047405	pyrimidine-5'-nucleotide nucleosidase activity
GO:0047406	beta-aspartyl-N-acetylglucosaminidase activity
GO:0047407	ADP-ribosyl-[dinitrogen reductase] hydrolase activity
GO:0047408	alkenylglycerophosphocholine hydrolase activity
GO:0047409	alkenylglycerophosphoethanolamine hydrolase activity
GO:0047410	N-formylmethionylaminoacyl-tRNA deformylase activity
GO:0047411	2-(acetamidomethylene)succinate hydrolase activity
GO:0047412	N-(long-chain-acyl)ethanolamine deacylase activity
GO:0047413	N(alpha)-benzyloxycarbonylleucine hydrolase activity
GO:0047414	2-(hydroxymethyl)-3-(acetamidomethylene)succinate hydrolase activity
GO:0047415	D-benzoylarginine-4-nitroanilide amidase activity
GO:0047416	arylalkyl acylamidase activity
GO:0047417	N-carbamoyl-D-amino acid hydrolase activity
GO:0047418	phthalyl amidase activity
GO:0047419	N-acetylgalactosamine-6-phosphate deacetylase activity
GO:0047420	N-acyl-D-amino-acid deacylase activity
GO:0047421	N-acyl-D-glutamate deacylase activity
GO:0047422	N-acyl-D-aspartate deacylase activity
GO:0047423	N-methylhydantoinase (ATP-hydrolyzing) activity
GO:0047424	methylenediurea deaminase activity
GO:0047425	1-pyrroline-4-hydroxy-2-carboxylate deaminase activity
GO:0047426	ricinine nitrilase activity
GO:0047427	cyanoalanine nitrilase activity
GO:0047428	arylacetonitrilase activity
GO:0047429	nucleoside-triphosphate diphosphatase activity
GO:0047430	oligosaccharide-diphosphodolichol diphosphatase activity
GO:0047431	3-hydroxy-2-methylpyridine-4,5-dicarboxylate 4-decarboxylase activity
GO:0047432	2,2-dialkylglycine decarboxylase (pyruvate) activity
GO:0047433	branched-chain-2-oxoacid decarboxylase activity
GO:0047434	indolepyruvate decarboxylase activity
GO:0047435	5-guanidino-2-oxopentanoate decarboxylase activity
GO:0047436	arylmalonate decarboxylase activity
GO:0047437	4-oxalocrotonate decarboxylase activity
GO:0047438	2-dehydro-3-deoxy-L-pentonate aldolase activity
GO:0047439	3-deoxy-D-manno-octulosonate aldolase activity
GO:0047440	2-dehydro-3-deoxy-D-pentonate aldolase activity
GO:0047441	5-dehydro-2-deoxyphosphogluconate aldolase activity
GO:0047442	17-alpha-hydroxyprogesterone aldolase activity
GO:0047443	4-hydroxy-4-methyl-2-oxoglutarate aldolase activity
GO:0047444	N-acylneuraminate-9-phosphate synthase activity
GO:0047445	3-hydroxy-3-isohexenylglutaryl-CoA lyase activity
GO:0047446	(1-hydroxycyclohexan-1-yl)acetyl-CoA lyase activity
GO:0047447	erythro-3-hydroxyaspartate ammonia-lyase activity
GO:0047448	5-dehydro-4-deoxyglucarate dehydratase activity
GO:0047449	2-dehydro-3-deoxy-L-arabinonate dehydratase activity
GO:0047450	crotonoyl-[acyl-carrier-protein] hydratase activity
GO:0047451	3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity
GO:0047452	protoaphin-aglucone dehydratase (cyclizing) activity
GO:0047453	ATP-dependent NAD(P)H-hydrate dehydratase activity
GO:0047454	phaseollidin hydratase activity
GO:0047455	16-alpha-hydroxyprogesterone dehydratase activity
GO:0047456	2-methylisocitrate dehydratase activity
GO:0047457	exo-(1,4)-alpha-D-glucan lyase activity
GO:0047458	beta-pyrazolylalanine synthase activity
GO:0047459	3-aminobutyryl-CoA ammonia-lyase activity
GO:0047460	L-2-amino-4-chloropent-4-enoate dehydrochlorinase activity
GO:0047461	(+)-delta-cadinene synthase activity
GO:0047462	phenylalanine racemase (ATP-hydrolyzing) activity
GO:0047463	2-aminohexano-6-lactam racemase activity
GO:0047464	heparosan-N-sulfate-glucuronate 5-epimerase activity
GO:0047465	N-acylglucosamine-6-phosphate 2-epimerase activity
GO:0047466	2-chloro-4-carboxymethylenebut-2-en-1,4-olide isomerase activity
GO:0047467	4-hydroxyphenylacetaldehyde-oxime isomerase activity
GO:0047468	phosphoglucomutase (glucose-cofactor) activity
GO:0047469	4-carboxymethyl-4-methylbutenolide mutase activity
GO:0047470	(1,4)-alpha-D-glucan 1-alpha-D-glucosylmutase activity
GO:0047471	maltose alpha-D-glucosyltransferase activity
GO:0047472	3-carboxy-cis,cis-muconate cycloisomerase activity
GO:0047473	D-alanine [D-alanyl carrier protein] ligase activity
GO:0047474	long-chain fatty acid luciferin component ligase activity
GO:0047475	phenylacetate-CoA ligase activity
GO:0047476	3-alpha,7-alpha-dihydroxy-5-beta-cholestanate-CoA ligase activity
GO:0047478	aspartate-ammonia ligase (ADP-forming) activity
GO:0047479	trypanothione synthase activity
GO:0047480	UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity
GO:0047481	D-alanine-alanyl-poly(glycerolphosphate) ligase activity
GO:0047482	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-L-lysine ligase activity
GO:0047483	imidazoleacetate-phosphoribosyldiphosphate ligase activity
GO:0047485	protein N-terminus binding
GO:0047486	chondroitin ABC lyase activity
GO:0047487	oligogalacturonide lyase activity
GO:0047488	heparin lyase activity
